title,language,deity,category,yt_query,style,tala,raga,neuro_tags,repetition_count,repetition_type,single_duration_min,cumulative_exposure_min,repetition_note,literature_eeg,cross_cultural_parallel,hawan_performed,hawan_samagri,mirchi_quantity_kg,homa_ahutis,capsaicin_total_g,olfactory_eeg_modifier,trigeminal_arousal_idx,net_hawan_eeg_state,phq9_boost_hawan,layer,instrumental_notes,aarti_instruments,instrument_eeg_boost,visual_stimulus,tactile_stimulus
Maa Baglamukhi Mantra,Sanskrit,Baglamukhi,Shakta Tantric,Maa Baglamukhi mantra 108 times traditional Sanskrit chanting,monotone_recitation,free_metre,,"['frequency_cluster_432hz', 'delta_dominant', 'meditative_onset', 'low_frequency_grounding']",125000,fixed_count,0.5,62500,"1,25,000× purashcharana — the prescribed sadhana count; performed over 11-41 days depending on tradition. Most intensive repetition count in Indian tradition.",Predicted deep delta + theta (purashcharana alters consciousness); comparable to long-term Tibetan retreat EEG (Lutz et al. 2004),Advanced Tibetan retreat (10M+ Om Mani Padme Hum) — both involve neuroplastic threshold repetition counts,True,"{'lal_mirch_150kg': {'compound': 'capsaicin', 'quantity_kg': 150, 'capsaicin_g': 450, 'pathway': 'trigeminal_TRPV1', 'receptor': 'TRPV1', 'eeg_effect_acute': 'beta_arousal', 'eeg_effect_chronic': 'theta_paradox', 'eeg_modifier': '+12_beta_then_theta', 'mechanism': 'TRPV1 activation -> substance_P -> neurogenic_inflammation -> prolonged_desensitisation -> paradoxical_theta_deepening', 'duration_phases': {'phase1_0_2hr': 'TRPV1_activation_beta_arousal_cortisol', 'phase2_2_6hr': 'desensitisation_theta_emergence', 'phase3_6hr+': 'substance_P_depletion_deep_delta_analgesia'}, 'reference': 'Julius 2013 Nobel; Caterina 1997 Nature'}, 'sarson': {'compound': 'allyl_isothiocyanate', 'pathway': 'trigeminal_TRPA1', 'receptor': 'TRPA1', 'eeg_effect': 'beta_synergistic_with_TRPV1', 'eeg_modifier': '+5_beta', 'reference': 'Jordt 2004'}, 'ghee': {'compound': 'butyric_acid', 'pathway': 'olfactory_bulb', 'receptor': 'OR', 'eeg_effect': 'theta_increase', 'eeg_modifier': '+4_theta', 'reference': 'Bhutani 2008'}, 'haldi': {'compound': 'curcumin', 'pathway': 'olfactory_bulb', 'receptor': 'OR', 'eeg_effect': 'alpha_increase', 'eeg_modifier': '+3_alpha', 'reference': 'Bhutani 2008'}}",150.0,12500.0,450.0,7.0,95.0,theta_beta_paradox_mirchi_dominant,2.8,,,,,,
Niggun Chabad,Hebrew/Aramaic,God (Ein Sof),Jewish,Niggun Chabad traditional Hasidic melody wordless chant slow,melodic,free_metre,,"['alpha_wave_induction', 'harmonic_resonance', 'meditative_onset']",10,fixed_count,5.0,50,Repeated 10+ times in Farbrengen gatherings; wordless melody repeated until transcendent state achieved,Alpha/theta melodic entrainment (comparable to Sufi sama),"Vaishnav Jan To (melodic, contemplative, no fixed count)",,,,,,,,,,,,,,,
Kaddish Prayer,Aramaic/Hebrew,God (HaShem),Jewish,Kaddish prayer traditional Jewish chanting slow cantorial,call_response,free_metre,Ahavah Rabbah,"['alpha_wave_induction', 'rhythm_entrainment', 'low_frequency_grounding']",3,fixed_count,4.0,12,3× daily during mourning period (11 months); call-response between cantor and congregation,Alpha frontal + parasympathetic (Newberg prayer studies),"Purusha Suktam (call-response, Vedic, alpha)",,,,,,,,,,,,,,,
Chandi Path,Sanskrit,Chandika / Durga,Shakta Tantric,Chandi Path Durga Saptashati Sanskrit traditional full recitation,monotone_recitation,free_metre,,"['delta_dominant', 'theta_dominant', 'meditative_onset', 'low_frequency_grounding']",9,fixed_count,90.0,810,9× over 9 days of Navaratri (one per night); 700 verses of Devi Mahatmya — longest Shakta text. Full recitation = ~90 min. Some traditions do 100× total.,"Deep theta/delta predicted (extended monotone, 90min session)","Shri Rudram Chamakam (extended Vedic, monotone, delta)",True,"{'guggal': {'compound': 'boswellic_acid', 'pathway': 'olfactory', 'eeg_effect': 'delta_theta_increase', 'receptor': 'OR'}, 'kapoor': {'compound': 'camphor_borneol', 'pathway': 'olfactory', 'eeg_effect': 'theta_increase', 'receptor': 'OR'}, 'chandan': {'compound': 'alpha_santalol', 'pathway': 'olfactory', 'eeg_effect': 'alpha_increase', 'receptor': 'OR'}, 'ghee': {'compound': 'butyric_acid', 'pathway': 'olfactory', 'eeg_effect': 'theta_increase', 'receptor': 'OR'}, 'til': {'compound': 'sesamol', 'pathway': 'olfactory', 'eeg_effect': 'alpha_increase', 'receptor': 'OR'}}",,,,8.0,0.0,deep_delta_theta,,,,,,,
Om Hreem Kleem Tripura Mantra,Sanskrit,Tripura Sundari / Lalita,Shakta Tantric,Om Hreem Kleem Tripurantakaya Namah mantra 108 times Sanskrit chanting,monotone_recitation,free_metre,,"['delta_dominant', 'frequency_cluster_432hz', 'meditative_onset', 'low_frequency_grounding']",108,fixed_count,0.4,43,108× daily japa of the Shodashi/Tripura Sundari bija mantra; one of the 10 Mahavidya mantras. Kleem bija resonates near 136.1 Hz (OM frequency) — lowest bija frequency in dataset.,Delta/theta bija mantra (Telles et al. 2013 — bija vs neutral),"Gayatri Mantra (108× japa, monotone, delta/theta)",False,{},,,,0.0,0.0,pure_audio_theta,,,,,,,
Namo Amituofo,Chinese (Mandarin),Amitabha Buddha,Buddhist,Namo Amituofo chanting 108 times traditional Chinese Buddhist,monotone_recitation,free_metre,,"['delta_dominant', 'pcc_deactivation', 'meditative_onset']",108,fixed_count,20.0,2160,108× per mala session; advanced practitioners chant continuously,"Delta PCC increase (Gao et al. 2019, Sci Rep)","Gayatri Mantra (108× japa, monotone, delta/theta)",,,,,,,,,,,,,,,
Om Mani Padme Hum,Sanskrit/Tibetan,Avalokiteshvara,Buddhist,Om Mani Padme Hum Tibetan chanting 108 times traditional,monotone_recitation,free_metre,,"['theta_dominant', 'alpha_wave_induction', 'meditative_onset']",108,fixed_count,15.0,1620,108× standard; 10 million+ over a lifetime in Tibetan tradition,Theta/alpha (Berkovich-Ohana et al. 2015),"Mahamrityunjaya Mantra (108×, theta dominant)",,,,,,,,,,,,,,,
Subhanallah Dhikr,Arabic,Allah,Islamic,Subhanallah Alhamdulillah Allahu Akbar dhikr 33 times traditional,rhythmic_chant,free_metre,,"['alpha_wave_induction', 'meditative_onset', 'rhythm_entrainment']",99,fixed_count,10.0,990,33× SubhanAllah + 33× Alhamdulillah + 33× AllahuAkbar after each prayer,Alpha frontal increase (Doufesh et al. 2012),"Rudrashtakam (rhythmic, alpha, devotional names)",,,,,,,,,,,,,,,
Al-Fatiha Recitation,Arabic,Allah,Islamic,Surah Al Fatiha recitation slow traditional Arabic maqam,melodic,free_metre,Hijaz,"['alpha_wave_induction', 'harmonic_resonance', 'meditative_onset']",17,fixed_count,1.0,17,17× per day (recited in every rakat of 5 daily prayers),Alpha/theta during Quranic recitation (Doufesh et al. 2012),"Aditya Hridayam (melodic, occasion-based, structured verses)",,,,,,,,,,,,,,,
Kyrie Eleison Byzantine,Greek,Jesus Christ,Christian,Kyrie Eleison Byzantine chant traditional Greek Orthodox,call_response,free_metre,,"['delta_dominant', 'harmonic_resonance', 'meditative_onset']",40,fixed_count,3.0,120,40× in Morning Office; continuous in some liturgies (Kyrie litany),Delta + alpha during Christian prayer (Newberg 2010),"Shri Rudram Chamakam (call-response, delta, sustained chant)",,,,,,,,,,,,,,,
Ave Maria Rosary,Latin,Virgin Mary,Christian,Ave Maria Rosary traditional Latin chant slow devotional,melodic,free_metre,,"['alpha_wave_induction', 'harmonic_resonance', 'rhythm_entrainment']",150,fixed_count,20.0,3000,150 Hail Marys (full Rosary); 50 in single chaplet,Alpha/gamma Christian prayer (Newberg & Waldman 2009),"Vishnu Sahasranamam (melodic, 1000 names, alpha dominant)",,,,,,,,,,,,,,,
Shema Yisrael,Hebrew,God (Adonai),Jewish,Shema Yisrael traditional Jewish prayer chant slow cantorial,monotone_recitation,free_metre,Ahavah Rabbah,"['alpha_wave_induction', 'meditative_onset', 'low_frequency_grounding']",2,fixed_count,3.0,6,2× daily minimum; extended before sleep; deathbed recitation,Alpha frontal (Azari et al. 2001 — prayer neuroimaging),"Mahalakshmi Ashtakam (monotone, occasion-based, short)",,,,,,,,,,,,,,,
Gregorian Kyrie,Latin,Jesus Christ,Christian,Gregorian chant Kyrie traditional monks medieval Latin slow,melodic,free_metre,,"['delta_dominant', 'harmonic_resonance', 'low_frequency_grounding']",9,fixed_count,4.0,36,9 invocations (3+3+3) in Mass Ordinary; continuous in Taize,"Delta increase, parasympathetic activation (Cahn & Polich 2006)","Narayana Suktam (melodic, low F0, delta/theta)",,,,,,,,,,,,,,,
Japji Sahib,Punjabi,Waheguru,Sikhism,Japji Sahib nitnem path,monotone_recitation,free_metre,,"['frequency_cluster_432hz', 'theta_dominant', 'meditative_onset']",1,occasion_based,20.0,20,Amritvela (3-6am) recitation — circadian context unique in dataset,Alpha/theta predicted; no published EEG study on Japji Sahib specifically,"Aditya Hridayam (dawn recitation, Sanskrit, monotone)",,,,,,,,,,paper2_sikh,,,,,
Mool Mantar 108,Punjabi,Waheguru,Sikhism,Mool Mantar 108 times recitation Waheguru Simran,monotone_recitation,free_metre,,"['theta_dominant', 'FAA_shift', 'japa_entrainment']",108,fixed_count,1.5,162,108× Simran — Sikh equivalent of Hindu japa; same dose as Gayatri 108×,Theta dominant predicted; matched to Gayatri Mantra 108× profile,"Gayatri Mantra 108× (monotone japa, theta dominant)",,,,,,,,,,paper2_sikh,,,,,
Kirtan Asa Di Var,Punjabi,Waheguru,Sikhism,Asa Di Var kirtan Gurbani,melodic,Chautal,Asa,"['alpha_dominant', 'harmonic_resonance', 'rhythm_entrainment']",1,occasion_based,45.0,45,Raga Asa — prescribed morning raga; Hindustani raga system shared with Indian classical,Alpha predicted; raga-based melodic structure same as Carnatic/Hindustani tradition,"Vishnu Sahasranamam (melodic, raga-based, alpha dominant)",,,,,,,,,,paper2_sikh,,,,,
Qawwali Ya Ali Madad,Urdu/Persian,Allah/Ali,Sufism,Qawwali Ya Ali Madad traditional Nusrat Fateh Ali Khan style,rhythmic_chant,Dadra,Kafi,"['rhythmic_build', 'beta_alpha_transition', 'ecstatic_state']",1,continuous_loop,30.0,30,Sama — Sufi listening practice; rhythmic crescendo build unique in dataset,Beta→alpha transition during crescendo; no published EEG; ecstatic state hypothesis,"Hanuman Chalisa rhythmic (rhythmic_chant, beta component)",,,,,,,,,,paper2_sufi,,,,,
Zikr Allah Hu,Arabic,Allah,Sufism,Sufi Zikr Allah Hu,rhythmic_chant,free_metre,,"['continuous_entrainment', 'theta_dominant', 'hyperventilation_state']",500,continuous_loop,0.5,250,Continuous Zikr — high-rep Islamic equivalent of Indian japa; hyperventilation EEG state,Theta dominant; hyperventilation-induced EEG changes documented,"Subhanallah Dhikr (Islamic, high-rep, rhythmic)",,,,,,,,,,paper2_sufi,,,,,
Sufi Whirling Chant Mevlevi,Persian/Arabic,Allah,Sufism,Mevlevi Sema ceremony music ney flute chanting traditional,melodic,free_metre,,"['vestibular_entrainment', 'alpha_theta', 'kinesthetic_meditation']",1,occasion_based,60.0,60,Mevlevi Sema (whirling) — vestibular + auditory combined; unique multimodal stimulus,No published EEG; vestibular stimulation adds proprioceptive theta component,"Om Hreem Kleem (monotone japa, multimodal context)",,,,,,,,,,paper2_sufi,,,,,
Gathas Ahunavaiti,Avestan,Ahura Mazda,Zoroastrian,Gathas Zarathustra Ahunavaiti traditional Zoroastrian recitation,monotone_recitation,free_metre,,"['ancient_harmonic', 'theta_dominant', 'low_frequency_grounding']",1,occasion_based,25.0,25,Oldest Indo-Iranian sacred text; Avestan language cognate with Sanskrit,"Theta predicted; monotone, very slow — similar to Vedic shrauta profile","Purusha Suktam (Vedic monotone, Sanskrit, very slow)",,,,,,,,,,paper2_zoroastrian,,,,,
Yasna Ha 28,Avestan,Ahura Mazda,Zoroastrian,Yasna recitation traditional Zoroastrian priest fire temple,monotone_recitation,free_metre,,"['delta_dominant', 'ancient_monotone', 'low_frequency_grounding']",1,occasion_based,30.0,30,Yasna liturgy — fire temple ceremony; closest Zoroastrian parallel to Vedic yajna,Delta predicted; lowest tempo in dataset; fire ritual context (olfactory component),"Narayana Suktam (slow, monotone, ritual context)",,,,,,,,,,paper2_zoroastrian,,,,,
Ashem Vohu 108,Avestan,Ahura Mazda,Zoroastrian,Ashem Vohu prayer Zoroastrian repetition traditional,monotone_recitation,free_metre,,"['theta_dominant', 'japa_entrainment', 'meditative_onset']",108,fixed_count,0.5,54,108× — shares japa count with Indian tradition; Avestan-Sanskrit linguistic parallel,Theta predicted; 108× dose matches Gayatri Mantra profile,"Gayatri Mantra 108× (japa, monotone, theta dominant)",,,,,,,,,,paper2_zoroastrian,,,,,
Jesus Prayer Hesychast,Greek,Jesus Christ,Greek Orthodox,Jesus Prayer Lord mercy Orthodox,monotone_recitation,free_metre,,"['continuous_entrainment', 'theta_dominant', 'breath_synchronised']",3000,continuous_loop,0.1,300,Hesychast practice — continuous repetition synchronised with breath; Christian japa equivalent,Theta predicted; no published EEG; breath-synchronised mantra = pranayama parallel,"Gayatri Mantra 108× (monotone japa, theta dominant)",,,,,,,,,,paper2_greek_orthodox,,,,,
Trisagion Byzantine,Greek,Holy Trinity,Greek Orthodox,Trisagion Byzantine chant Holy God Orthodox traditional,call_response,free_metre,,"['delta_dominant', 'low_frequency_resonance', 'alpha_theta']",3,fixed_count,5.0,15,Thrice-Holy prayer — lowest F0 of Christian tracks; call-response like Vedic Rudram,Delta/alpha predicted; Byzantine modes analogous to Indian raga systems,"Shri Rudram Chamakam (call-response, Sanskrit, delta/theta)",,,,,,,,,,paper2_greek_orthodox,,,,,
Akathist Hymn Theotokos,Greek,Virgin Mary,Greek Orthodox,Akathist Hymn Theotokos chant,melodic,free_metre,,"['alpha_dominant', 'melodic_entrainment', 'call_response_overlay']",1,occasion_based,60.0,60,Longest liturgical hymn in Eastern Christianity; closest parallel to Vishnu Sahasranamam,Alpha dominant; melodic complexity matches Indian stotram melodic profile,"Vishnu Sahasranamam (long-form melodic, alpha dominant)",,,,,,,,,,paper2_greek_orthodox,,,,,
Om Ma Tri Mu Ye Sa Le Du,Tibetan,Shenlha Okar,Tibetan Bon,Om Ma Tri Mu Ye Sa Le Du mantra,monotone_recitation,free_metre,,"['delta_dominant', 'very_low_F0', 'drone_entrainment']",108,fixed_count,1.5,162,Six-syllable Bon mantra; lowest F0 in dataset; predates Buddhism by millennia,Delta predicted; very low F0 (<80Hz) places this at extreme low-frequency end,"Om Mani Padme Hum (Tibetan Buddhism, 108×, monotone)",,,,,,,,,,paper2_tibetan_bon,,,,,
Bon Tantric Drum Chant,Tibetan,Tagla Mebar,Tibetan Bon,Tibetan Bon drum chant,rhythmic_chant,free_metre,,"['theta_beta_paradox', 'drum_entrainment', 'shamanic_state']",1,continuous_loop,40.0,40,Drum + chant combination; shamanic state induction; rhythmic beta overlay on theta base,Theta-beta predicted; drum rhythm at 4-7 Hz directly entrains theta,"Baglamukhi hawan (theta-beta paradox, multimodal stimulus)",,,,,,,,,,paper2_tibetan_bon,,,,,
Sang Offering Chant,Tibetan,Mountain deities,Tibetan Bon,Tibetan sang offering chant,monotone_recitation,free_metre,,"['olfactory_modulation', 'smoke_offering', 'delta_theta']",1,occasion_based,25.0,25,Sang smoke offering — Tibetan equivalent of Indian hawan; olfactory pathway only,Delta/theta predicted; juniper alpha-pinene EEG effect documented,Chandi Path hawan (olfactory delta deepening),True,"{'juniper': {'compound': 'alpha_pinene', 'pathway': 'olfactory_bulb', 'eeg_modifier': '+4_theta', 'reference': 'Satou 2013'}, 'sandalwood': {'compound': 'alpha_santalol', 'pathway': 'olfactory_bulb', 'eeg_modifier': '+4_alpha', 'reference': 'Heuberger 2006'}, 'herbs': {'compound': 'terpene_mix', 'pathway': 'olfactory_bulb', 'eeg_modifier': '+3_alpha', 'reference': 'Bhutani 2008'}}",,,,11.0,0.0,deep_theta_olfactory,,paper2_tibetan_bon,,,,,
Ngoma Healing Drum Chant,Swahili/Bantu,Ancestral spirits,African Traditional,Ngoma traditional African healing drum ceremony chant East Africa,rhythmic_chant,polyrhythmic,,"['high_tempo_arousal', 'beta_dominant', 'trance_state', 'polyrhythmic']",1,continuous_loop,120.0,120,Fastest tempo in dataset (>140 BPM); polyrhythmic structure; trance induction through beta,Beta dominant; trance induction through rhythmic driving documented (Rouget 1985),"Shiva Tandava Stotram (high tempo, beta, rhythmic)",,,,,,,,,,paper2_african,,,,,
Bwiti Mvet Chant,Fang,Zame ye Mebege,African Traditional,Bwiti ceremony chant Gabon traditional healing ritual,melodic,free_metre,,"['alpha_theta_transition', 'ritual_context', 'olfactory_modulation']",1,continuous_loop,480.0,480,Bwiti initiation chant — all-night; plant medicine context (iboga); olfactory + auditory,Alpha/theta transition; ritual trance without percussion is melodic alpha,"Thiruppavai (long-form melodic, extended duration)",,,,,,,,,,paper2_african,,,,,
San Bushman Healing Song,Khoekhoe,God/Great Spirit,African Traditional,Kalahari San healing song,melodic,free_metre,,"['gamma_burst', 'trance_state', 'unique_phoneme_structure']",1,continuous_loop,90.0,90,Click consonants unique in dataset; gamma bursts hypothesised from phoneme complexity,"Gamma/theta predicted; oldest healing tradition in dataset (100,000+ years)",None directly; unique acoustic outlier — gamma dominant,,,,,,,,,,paper2_african,,,,,
Lakota Sun Dance Song,Lakota,Wakan Tanka,Native American,Lakota traditional prayer song drum Native American sacred,rhythmic_chant,quarter_beat_drum,,"['theta_dominant', 'drum_entrainment', 'breath_extended']",4,fixed_count,15.0,60,Drum at ~4-5 BPS = theta frequency range; 4× repetition mirrors sacred directional count,Theta dominant; drum rhythm at theta frequency is direct neural entrainment,"Durga Suktam (ritual repetition, theta dominant)",,,,,,,,,,paper2_native_american,,,,,
Navajo Night Chant Yeibichai,Navajo,Holy People,Native American,Navajo night chant Yeibichai traditional healing ceremony,call_response,free_metre,,"['alpha_dominant', 'call_response_brain_sync', 'healing_context']",1,occasion_based,90.0,90,9-night Hozhoni healing ceremony; call-response structure; longest ceremonial context,Alpha predicted; healing context shared with Indian music therapy literature,"Shri Rudram Chamakam (call-response, healing context)",,,,,,,,,,paper2_native_american,,,,,
Inuit Throat Singing Katajjaq,Inuktitut,Spirits/Nature,Native American,Inuit throat singing katajjaq traditional ceremonial duet,rhythmic_chant,breath_rhythm,,"['beta_gamma', 'breath_entrainment', 'binaural_beat_analogue']",1,occasion_based,5.0,5,Binaural-beat analogue — two voices create beat frequencies; unique acoustic structure,Beta/gamma predicted; breath-entrainment + beat frequency = unique dual pathway,None; unique outlier — binaural beat mechanism,,,,,,,,,,paper2_native_american,,,,,
Taoist Morning Liturgy Huangjing,Classical Chinese,Jade Emperor,Taoist,Taoist morning liturgy chanting traditional Quanzhen priest,monotone_recitation,free_metre,,"['theta_dominant', 'low_spectral_centroid', 'meditative_onset']",1,occasion_based,30.0,30,"Quanzhen liturgy — monotone, very slow; lowest SC of East Asian tracks",Theta predicted; spectral profile matches Vedic monotone recitation,"Narayana Suktam (monotone, low SC, daily ritual)",,,,,,,,,,paper2_taoist,,,,,
